_id,index,Unnamed: 0,Codigo_UF,Municipios,Estado,uf
649cbd3955516ad2537dc483,119,3078,21,Zé Doca,Maranhão,MA
649cbd3955516ad2537dc484,120,3068,21,Tuntum,Maranhão,MA
649cbd3955516ad2537dc485,121,3067,21,Tufilândia,Maranhão,MA
649cbd3955516ad2537dc486,122,3066,21,Trizidela do Vale,Maranhão,MA
649cbd3955516ad2537dc487,123,3065,21,Timon,Maranhão,MA
649cbd3955516ad2537dc488,124,3064,21,Timbiras,Maranhão,MA
649cbd3955516ad2537dc489,125,3063,21,Tasso Fragoso,Maranhão,MA
649cbd3955516ad2537dc48a,126,3062,21,Sucupira do Riachão,Maranhão,MA
649cbd3955516ad2537dc48b,127,3061,21,Sucupira do Norte,Maranhão,MA
649cbd3955516ad2537dc48c,128,3060,21,Sítio Novo,Maranhão,MA
649cbd3955516ad2537dc48d,129,3059,21,Serrano do Maranhão,Maranhão,MA
649cbd3955516ad2537dc48e,130,3058,21,Senador La Rocque,Maranhão,MA
649cbd3955516ad2537dc48f,131,3035,21,São Domingos do Azeitão,Maranhão,MA
649cbd3955516ad2537dc490,132,3070,21,Turilândia,Maranhão,MA
649cbd3955516ad2537dc491,133,3034,21,São Bernardo,Maranhão,MA
649cbd3955516ad2537dc492,134,3032,21,São Benedito do Rio Preto,Maranhão,MA
649cbd3955516ad2537dc493,135,3008,21,Poção de Pedras,Maranhão,MA
649cbd3955516ad2537dc494,136,3007,21,Pirapemas,Maranhão,MA
649cbd3955516ad2537dc495,137,3006,21,Pio XII,Maranhão,MA
649cbd3955516ad2537dc496,138,3005,21,Pinheiro,Maranhão,MA
649cbd3955516ad2537dc497,139,3004,21,Pindaré-Mirim,Maranhão,MA
649cbd3955516ad2537dc498,140,3003,21,Peritoró,Maranhão,MA
649cbd3955516ad2537dc499,141,3002,21,Peri Mirim,Maranhão,MA
649cbd3955516ad2537dc49a,142,3001,21,Penalva,Maranhão,MA
649cbd3955516ad2537dc49b,143,3009,21,Porto Franco,Maranhão,MA
649cbd3955516ad2537dc49c,144,3000,21,Pedro do Rosário,Maranhão,MA
649cbd3955516ad2537dc49d,145,2998,21,Paulo Ramos,Maranhão,MA
649cbd3955516ad2537dc49e,146,2997,21,Paulino Neves,Maranhão,MA
649cbd3955516ad2537dc49f,147,2996,21,Pastos Bons,Maranhão,MA
649cbd3955516ad2537dc4a0,148,2995,21,Passagem Franca,Maranhão,MA
649cbd3955516ad2537dc4a1,149,2994,21,Parnarama,Maranhão,MA
649cbd3955516ad2537dc4a2,150,2993,21,Paraibano,Maranhão,MA
649cbd3955516ad2537dc4a3,151,2992,21,Palmeirândia,Maranhão,MA
649cbd3955516ad2537dc4a4,152,2991,21,Paço do Lumiar,Maranhão,MA
649cbd3955516ad2537dc4a5,153,2999,21,Pedreiras,Maranhão,MA
649cbd3955516ad2537dc4a6,154,3010,21,Porto Rico do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4a7,155,3011,21,Presidente Dutra,Maranhão,MA
649cbd3955516ad2537dc4a8,156,3012,21,Presidente Juscelino,Maranhão,MA
649cbd3955516ad2537dc4a9,157,3031,21,Santo Antônio dos Lopes,Maranhão,MA
649cbd3955516ad2537dc4aa,158,3030,21,Santo Amaro do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4ab,159,3029,21,Santana do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4ac,160,3028,21,Santa Rita,Maranhão,MA
649cbd3955516ad2537dc4ad,161,3027,21,Santa Quitéria do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4ae,162,3026,21,Santa Luzia do Paruá,Maranhão,MA
649cbd3955516ad2537dc4af,163,3025,21,Santa Luzia,Maranhão,MA
649cbd3955516ad2537dc4b0,164,3024,21,Santa Inês,Maranhão,MA
649cbd3955516ad2537dc4b1,165,3023,21,Santa Helena,Maranhão,MA
649cbd3955516ad2537dc4b2,166,3022,21,Santa Filomena do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4b3,167,3021,21,Sambaíba,Maranhão,MA
649cbd3955516ad2537dc4b4,168,3020,21,Rosário,Maranhão,MA
649cbd3955516ad2537dc4b5,169,3019,21,Ribamar Fiquene,Maranhão,MA
649cbd3955516ad2537dc4b6,170,3018,21,Riachão,Maranhão,MA
649cbd3955516ad2537dc4b7,171,3017,21,Raposa,Maranhão,MA
649cbd3955516ad2537dc4b8,172,3016,21,Primeira Cruz,Maranhão,MA
649cbd3955516ad2537dc4b9,173,3015,21,Presidente Vargas,Maranhão,MA
649cbd3955516ad2537dc4ba,174,3014,21,Presidente Sarney,Maranhão,MA
649cbd3955516ad2537dc4bb,175,3013,21,Presidente Médici,Maranhão,MA
649cbd3955516ad2537dc4bc,176,3033,21,São Bento,Maranhão,MA
649cbd3955516ad2537dc4bd,177,2901,21,Buriti Bravo,Maranhão,MA
649cbd3955516ad2537dc4be,178,3069,21,Turiaçu,Maranhão,MA
649cbd3955516ad2537dc4bf,179,2894,21,Boa Vista do Gurupi,Maranhão,MA
649cbd3955516ad2537dc4c0,180,2882,21,Bacabeira,Maranhão,MA
649cbd3955516ad2537dc4c1,181,2883,21,Bacuri,Maranhão,MA
649cbd3955516ad2537dc4c2,182,2884,21,Bacurituba,Maranhão,MA
649cbd3955516ad2537dc4c3,183,2885,21,Balsas,Maranhão,MA
649cbd3955516ad2537dc4c4,184,2888,21,Barreirinhas,Maranhão,MA
649cbd3955516ad2537dc4c5,185,2889,21,Bela Vista do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4c6,186,2890,21,Belágua,Maranhão,MA
649cbd3955516ad2537dc4c7,187,2881,21,Bacabal,Maranhão,MA
649cbd3955516ad2537dc4c8,188,2891,21,Benedito Leite,Maranhão,MA
649cbd3955516ad2537dc4c9,189,2893,21,Bernardo do Mearim,Maranhão,MA
649cbd3955516ad2537dc4ca,190,2895,21,Bom Jardim,Maranhão,MA
649cbd3955516ad2537dc4cb,191,2896,21,Bom Jesus das Selvas,Maranhão,MA
649cbd3955516ad2537dc4cc,192,2897,21,Bom Lugar,Maranhão,MA
649cbd3955516ad2537dc4cd,193,2898,21,Brejo,Maranhão,MA
649cbd3955516ad2537dc4ce,194,2899,21,Brejo de Areia,Maranhão,MA
649cbd3955516ad2537dc4cf,195,2900,21,Buriti,Maranhão,MA
649cbd3955516ad2537dc4d0,196,2892,21,Bequimão,Maranhão,MA
649cbd3955516ad2537dc4d1,197,2880,21,Axixá,Maranhão,MA
649cbd3955516ad2537dc4d2,198,2887,21,Barra do Corda,Maranhão,MA
649cbd3955516ad2537dc4d3,199,2878,21,Arame,Maranhão,MA
649cbd3955516ad2537dc4d4,200,2862,21,Açailândia,Maranhão,MA
649cbd3955516ad2537dc4d5,201,2863,21,Afonso Cunha,Maranhão,MA
649cbd3955516ad2537dc4d6,202,2864,21,Água Doce do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4d7,203,2879,21,Arari,Maranhão,MA
649cbd3955516ad2537dc4d8,204,2866,21,Aldeias Altas,Maranhão,MA
649cbd3955516ad2537dc4d9,205,2867,21,Altamira do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4da,206,2868,21,Alto Alegre do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4db,207,2869,21,Alto Alegre do Pindaré,Maranhão,MA
649cbd3955516ad2537dc4dc,208,2865,21,Alcântara,Maranhão,MA
649cbd3955516ad2537dc4dd,209,2871,21,Amapá do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4de,210,2872,21,Amarante do Maranhão,Maranhão,MA
649cbd3955516ad2537dc4df,211,2873,21,Anajatuba,Maranhão,MA
649cbd3955516ad2537dc4e0,212,2874,21,Anapurus,Maranhão,MA
649cbd3955516ad2537dc4e1,213,2875,21,Apicum-Açu,Maranhão,MA
649cbd3955516ad2537dc4e2,214,2876,21,Araguanã,Maranhão,MA
649cbd3955516ad2537dc4e3,215,2877,21,Araioses,Maranhão,MA
649cbd3955516ad2537dc4e4,216,2870,21,Alto Parnaíba,Maranhão,MA
649cbd3955516ad2537dc4e6,0,1016,31,Sem-Peixe,Minas Gerais,MG
649cbd3955516ad2537dc4e7,1,1015,31,Sarzedo,Minas Gerais,MG
