_id,index,Unnamed: 0,Codigo_UF,Municipios,Estado,uf
649cbd3955516ad2537dc6c5,479,876,31,Reduto,Minas Gerais,MG
649cbd3955516ad2537dc6c6,480,877,31,Resende Costa,Minas Gerais,MG
649cbd3955516ad2537dc6c7,481,878,31,Resplendor,Minas Gerais,MG
649cbd3955516ad2537dc6c8,482,879,31,Ressaquinha,Minas Gerais,MG
649cbd3955516ad2537dc6c9,483,866,31,Presidente Bernardes,Minas Gerais,MG
649cbd3955516ad2537dc6ca,484,880,31,Riachinho,Minas Gerais,MG
649cbd3955516ad2537dc6cb,485,882,31,Ribeirão das Neves,Minas Gerais,MG
649cbd3955516ad2537dc6cc,486,883,31,Ribeirão Vermelho,Minas Gerais,MG
649cbd3955516ad2537dc6cd,487,884,31,Rio Acima,Minas Gerais,MG
649cbd3955516ad2537dc6ce,488,885,31,Rio Casca,Minas Gerais,MG
649cbd3955516ad2537dc6cf,489,886,31,Rio do Prado,Minas Gerais,MG
649cbd3955516ad2537dc6d0,490,887,31,Rio Doce,Minas Gerais,MG
649cbd3955516ad2537dc6d1,491,888,31,Rio Espera,Minas Gerais,MG
649cbd3955516ad2537dc6d2,492,889,31,Rio Manso,Minas Gerais,MG
649cbd3955516ad2537dc6d3,493,890,31,Rio Novo,Minas Gerais,MG
649cbd3955516ad2537dc6d4,494,891,31,Rio Paranaíba,Minas Gerais,MG
649cbd3955516ad2537dc6d5,495,892,31,Rio Pardo de Minas,Minas Gerais,MG
649cbd3955516ad2537dc6d6,496,893,31,Rio Piracicaba,Minas Gerais,MG
649cbd3955516ad2537dc6d7,497,894,31,Rio Pomba,Minas Gerais,MG
649cbd3955516ad2537dc6d8,498,881,31,Riacho dos Machados,Minas Gerais,MG
649cbd3955516ad2537dc6d9,499,895,31,Rio Preto,Minas Gerais,MG
649cbd3955516ad2537dc6da,500,865,31,Pratinha,Minas Gerais,MG
649cbd3955516ad2537dc6db,501,863,31,Prata,Minas Gerais,MG
